2017,Precip. (in),Events
December-2017,sum,
8,30,
9,30.01,"Rain , Snow"
10,10,
11,60,
12,0,Rain
13,60,
14,10,"Rain , Snow"
15,0.01,Snow
16,0,
17,0,
18,0,Rain
19,0,
20,0,
21,10,
22,0.02,
23,130,Rain
24,0,Rain
25,50.02,Rain
26,10,
27,0,
28,70.01,
29,70.03,
30,0,Snow
31,0,
2018,Precip. (in),Events
January-2018,sum,
1,0,
2,0,
3,60.01,
4,10,"Fog , Snow"
5,0,
6,0,
7,0,
8,10,Snow
9,20,
10,10,
11,10,
12,100.03,"Fog , Rain"
13,69.97,Rain
14,0,
15,0,
16,10,
17,50,"Rain , Snow"
18,0.02,
28,0.01,
29,0,Rain
30,20,"Rain , Snow"
31,20,
2018,Precip. (in),Events
February-2018,sum,
1,0,Rain
2,80,Rain
3,0,
4,70.02,Rain
5,49.98,
6,20.03,
7,40.01,"Rain , Snow"
8,20,
9,0,
10,70.01,Rain
11,180.11,"Fog , Rain"
12,20,
13,20,
14,0,Rain
15,40.02,Rain
16,110,"Fog , Rain"
17,20.02,"Rain , Snow"
18,40,
19,20.01,"Fog , Rain"
20,19.99,Fog
21,0,Rain
22,20,Rain
23,10,Rain
24,50.01,Rain
25,120.01,Rain
26,20,
27,60,
28,40,
2018,Precip. (in),Events
March-2018,sum,
1,30.11,Rain
2,210,Rain
3,10,
4,0,
5,10,
6,0,Rain
7,140.04,"Rain , Snow"
8,29.99,
9,10,
10,0,
11,0,
12,0,Rain
13,120.01,"Rain , Snow"
14,10,Rain
15,0,
16,20.04,
17,0,
18,10,
19,0,
20,0,
21,60.06,"Fog , Rain , Snow"
22,89.97,"Rain , Snow"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
